,customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,discount_applied,previous_purchases,payment_method,frequency_of_purchases
0,180,64,Male,Scarf,Footwear,31.0,Illinois,M,Violet,Fall,4.9,True,True,9.0,Bank Transfer,Fortnightly
1,831,41,Male,Boots,Clothing,76.0,Wyoming,M,Maroon,Fall,4.2,True,True,5.0,Credit Card,Annually
2,625,55,Male,Skirt,Clothing,87.0,South Carolina,,Pink,Fall,3.4,True,True,21.0,PayPal,Annually
3,1781,67,Male,Socks,Accessories,81.0,North Dakota,S,Gray,Summer,4.2,False,False,49.0,Credit Card,Weekly
4,1059,29,Male,Blouse,Accessories,33.0,New Mexico,L,Violet,Summer,3.1,False,True,0.0,Bank Transfer,Every 3 Months
5,1424,51,Male,Sandals,Footwear,60.0,Michigan,,Black,Fall,3.5,False,True,12.0,Venmo,Every 3 Months
6,3368,44,Female,Shirt,Clothing,48.0,Tennessee,M,Blue,Summer,3.79,False,False,6.0,Venmo,Fortnightly
7,264,27,Male,Belt,Clothing,46.0,Iowa,M,Purple,Summer,3.75,True,True,0.0,Venmo,Monthly
8,2210,42,Male,Handbag,Footwear,56.5,Utah,XL,Beige,Summer,4.5,False,False,44.0,Bank Transfer,Quarterly
9,1514,22,Male,Hoodie,Clothing,35.0,Texas,M,Red,Spring,4.1,False,True,27.0,Cash,Monthly
10,2756,59,Female,Socks,Accessories,97.0,Nevada,M,Indigo,Winter,3.3,False,False,18.0,Credit Card,Annually
11,3675,35,Female,Boots,Accessories,65.0,Washington,M,Blue,Winter,3.71,False,False,41.0,Venmo,Fortnightly
12,140,49,Male,Dress,Outerwear,95.0,Florida,M,White,Fall,3.8,True,True,30.0,Venmo,Annually
13,2646,23,Male,Hat,Accessories,81.0,Louisiana,L,Olive,Spring,4.0,False,False,24.0,Bank Transfer,Bi-Weekly
14,2944,29,Female,Skirt,Clothing,59.634328358208954,Virginia,M,Orange,Spring,3.67,False,False,37.0,Credit Card,Monthly
15,564,61,Male,Skirt,Footwear,99.0,Idaho,M,Black,Fall,4.4,True,True,16.0,Debit Card,Quarterly
16,3372,49,Female,Hat,Clothing,60.36923076923077,Colorado,S,Turquoise,Winter,4.0,False,False,28.0,PayPal,Annually
17,1100,19,Male,Dress,Clothing,73.0,North Carolina,M,Peach,Fall,2.6,False,True,45.0,Bank Transfer,Fortnightly
18,1041,68,Male,Coat,Clothing,22.0,North Carolina,S,Magenta,Fall,4.0,True,True,7.0,Cash,Fortnightly
19,860,47,Male,Blouse,Clothing,73.0,Wisconsin,M,Teal,Winter,4.0,True,True,7.0,Debit Card,Monthly
20,3310,48,Female,Scarf,Accessories,47.0,Massachusetts,M,Blue,Summer,3.1,False,False,19.0,PayPal,Monthly
21,104,54,Male,Socks,Footwear,89.0,West Virginia,L,Red,Winter,4.0,True,True,22.0,Venmo,Bi-Weekly
22,87,24,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,True,True,47.0,Cash,Bi-Weekly
23,1354,39,Male,Pants,Clothing,83.0,Oregon,M,Teal,Winter,4.1,False,True,0.0,Cash,Every 3 Months
24,1772,46,Male,Coat,Clothing,82.0,Indiana,XL,Turquoise,Fall,4.7,False,False,9.0,Credit Card,Annually
25,356,37,Male,Belt,Accessories,42.0,Oregon,XL,Magenta,Fall,4.1,True,True,1.0,PayPal,Every 3 Months
26,1092,44,Male,Sunglasses,Clothing,57.13475177304964,North Carolina,L,Lavender,Spring,4.7,False,True,6.0,Credit Card,Fortnightly
27,2649,51,Male,Jeans,Clothing,84.0,Illinois,M,Gray,Spring,3.9,False,False,14.0,PayPal,Bi-Weekly
28,2177,24,Male,Coat,Accessories,60.00735294117647,Vermont,S,Red,Winter,3.4,False,False,44.0,Debit Card,Quarterly
29,1988,69,Male,Handbag,Accessories,23.0,Vermont,XL,White,Summer,3.4,False,False,4.0,Cash,Quarterly
30,1568,30,Male,Shoes,Accessories,33.0,Minnesota,M,Turquoise,Spring,4.1,False,True,9.0,Cash,Monthly
31,670,43,Male,Shorts,Outerwear,89.0,Illinois,M,Gray,Spring,3.3,True,True,0.0,Venmo,Bi-Weekly
