Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
180,64,Male,Scarf,Footwear,31,Illinois,M,Violet,Fall,4.9,Yes,Yes,9,Bank Transfer,Fortnightly
831,41,Male,Boots,Clothing,76,Wyoming,M,Maroon,Fall,4.2,Yes,Yes,5,Credit Card,Annually
625,55,Male,Skirt,Clothing,87,South Carolina,,Pink,Fall,3.4,Yes,Yes,21,PayPal,Annually
1781,67,Male,Socks,Accessories,81,North Dakota,S,Gray,Summer,4.2,No,No,49,Credit Card,Weekly
1059,29,Male,Blouse,Accessories,33,New Mexico,L,Violet,Summer,3.1,No,Yes,,Bank Transfer,Every 3 Months
1424,51,Male,Sandals,Footwear,60,Michigan,,Black,Fall,3.5,No,Yes,12,Venmo,Every 3 Months
3368,44,Female,Shirt,Clothing,48,Tennessee,M,Blue,Summer,,No,No,6,Venmo,Fortnightly
264,27,Male,Belt,Clothing,46,Iowa,M,Purple,Summer,,Yes,Yes,,Venmo,Monthly
2210,42,Male,Handbag,Footwear,,Utah,XL,Beige,Summer,4.5,No,No,44,Bank Transfer,Quarterly
1514,22,Male,Hoodie,Clothing,35,Texas,M,Red,Spring,4.1,No,Yes,27,Cash,Monthly
2756,59,Female,Socks,Accessories,97,Nevada,M,Indigo,Winter,3.3,No,No,18,Credit Card,Annually
3675,35,Female,Boots,Accessories,65,Washington,M,Blue,Winter,,No,No,41,Venmo,Fortnightly
140,49,Male,Dress,Outerwear,95,Florida,M,White,Fall,3.8,Yes,Yes,30,Venmo,Annually
2646,23,Male,Hat,Accessories,81,Louisiana,L,Olive,Spring,4,No,No,24,Bank Transfer,Bi-Weekly
2944,29,Female,Skirt,Clothing,,Virginia,M,Orange,Spring,,No,No,37,Credit Card,Monthly
564,61,Male,Skirt,Footwear,99,Idaho,M,Black,Fall,4.4,Yes,Yes,16,Debit Card,Quarterly
3372,49,Female,Hat,Clothing,,Colorado,S,Turquoise,Winter,4,No,No,28,PayPal,Annually
1100,19,Male,Dress,Clothing,73,North Carolina,M,Peach,Fall,2.6,No,Yes,45,Bank Transfer,Fortnightly
1041,68,Male,Coat,Clothing,22,North Carolina,S,Magenta,Fall,4,Yes,Yes,7,Cash,Fortnightly
860,47,Male,Blouse,Clothing,73,Wisconsin,M,Teal,Winter,4,Yes,Yes,7,Debit Card,Monthly
3310,48,Female,Scarf,Accessories,47,Massachusetts,M,Blue,Summer,3.1,No,No,19,PayPal,Monthly
104,54,Male,Socks,Footwear,89,West Virginia,L,Red,Winter,4,Yes,Yes,22,Venmo,Bi-Weekly
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,Yes,47,Cash,Bi-Weekly
1354,39,Male,Pants,Clothing,83,Oregon,M,Teal,Winter,4.1,No,Yes,,Cash,Every 3 Months
1772,46,Male,Coat,Clothing,82,Indiana,XL,Turquoise,Fall,4.7,No,No,9,Credit Card,Annually
356,37,Male,Belt,Accessories,42,Oregon,XL,Magenta,Fall,4.1,Yes,Yes,1,PayPal,Every 3 Months
1092,44,Male,Sunglasses,Clothing,,North Carolina,L,Lavender,Spring,4.7,No,Yes,6,Credit Card,Fortnightly
2649,51,Male,Jeans,Clothing,84,Illinois,M,Gray,Spring,3.9,No,No,14,PayPal,Bi-Weekly
2177,24,Male,Coat,Accessories,,Vermont,S,Red,Winter,3.4,No,No,44,Debit Card,Quarterly
1988,69,Male,Handbag,Accessories,23,Vermont,XL,White,Summer,3.4,No,No,4,Cash,Quarterly
1568,30,Male,Shoes,Accessories,33,Minnesota,M,Turquoise,Spring,4.1,No,Yes,9,Cash,Monthly
670,43,Male,Shorts,Outerwear,89,Illinois,M,Gray,Spring,3.3,Yes,Yes,,Venmo,Bi-Weekly
3486,50,Female,Scarf,Clothing,,Massachusetts,XL,Brown,Winter,3.4,No,No,23,Debit Card,Fortnightly
483,41,Male,Shorts,Accessories,,Connecticut,M,Yellow,Winter,,Yes,Yes,11,Venmo,Annually
3643,47,Female,Jacket,Clothing,71,Arizona,L,Maroon,Summer,4.4,No,No,5,PayPal,Annually
774,29,Male,Jewelry,Accessories,84,California,L,Indigo,Winter,2.6,Yes,Yes,14,Debit Card,Bi-Weekly
2109,54,Male,Shorts,Clothing,46,North Dakota,XL,Beige,Winter,4.2,No,No,4,Credit Card,Quarterly
1298,44,Male,Sunglasses,Footwear,85,New Jersey,M,Silver,Summer,4.6,No,Yes,,Venmo,Annually
555,56,Male,Sunglasses,Footwear,47,Minnesota,,Red,Summer,3,Yes,Yes,34,Bank Transfer,Weekly
1049,30,Male,Handbag,Clothing,,Maine,,Yellow,Fall,2.7,Yes,Yes,19,Venmo,Fortnightly
759,66,Male,Hat,Footwear,71,Massachusetts,L,Peach,Summer,4.6,Yes,Yes,,Bank Transfer,Every 3 Months
2012,57,Male,Sunglasses,Footwear,94,West Virginia,M,Beige,Spring,3.7,No,No,4,Bank Transfer,Monthly
1113,69,Male,Gloves,Clothing,67,Washington,XL,Pink,Spring,4.6,No,Yes,32,PayPal,Quarterly
1204,40,Male,Jewelry,Footwear,82,Minnesota,M,Orange,Winter,3.7,No,Yes,23,Bank Transfer,Annually
1540,32,Male,Blouse,Accessories,55,Hawaii,M,Turquoise,Spring,5,No,Yes,19,Cash,Every 3 Months
2079,49,Male,Jacket,Clothing,42,Hawaii,M,Blue,Spring,3.2,No,No,,Debit Card,Weekly
1999,20,Male,Sunglasses,Clothing,45,Vermont,M,Orange,Fall,,No,No,19,Cash,Quarterly
27,38,Male,Shoes,Accessories,20,Nevada,,Red,Spring,3.6,Yes,Yes,13,Credit Card,Annually
2739,50,Female,Skirt,Footwear,81,Ohio,M,Charcoal,Summer,4.3,No,No,39,Venmo,Every 3 Months
2348,37,Male,Sweater,Accessories,64,California,S,Gray,Fall,,No,No,46,Cash,Every 3 Months
3817,29,Female,Sneakers,Outerwear,,Maryland,,Silver,Summer,4.3,No,No,,Credit Card,Fortnightly
2068,60,Male,Sneakers,Clothing,21,Maryland,XL,Beige,Fall,3.1,No,No,23,Cash,Fortnightly
2692,43,Female,Boots,Clothing,25,Nebraska,L,Blue,Winter,3.3,No,No,48,Cash,Monthly
2968,34,Female,Gloves,Footwear,36,Indiana,L,Silver,Summer,,No,No,40,Venmo,Annually
176,53,Male,Sandals,Outerwear,86,Oklahoma,,Violet,Fall,2.8,Yes,Yes,2,Bank Transfer,Annually
2919,19,Female,Sneakers,Accessories,73,New York,,Black,Fall,4.9,No,No,36,Cash,Weekly
798,42,Male,Boots,Outerwear,,Maryland,,Violet,Fall,4,Yes,Yes,,Debit Card,Weekly
3172,68,Female,Blouse,Accessories,26,Tennessee,M,Maroon,Spring,3.1,No,No,26,Bank Transfer,Bi-Weekly
1211,34,Male,Shoes,Accessories,78,Missouri,M,Olive,Fall,4.1,No,Yes,5,Cash,Quarterly
1736,58,Male,Hoodie,Clothing,34,Texas,M,Purple,Winter,3.6,No,No,,Venmo,Annually
2772,58,Female,Blouse,Outerwear,52,Maryland,S,Beige,Summer,3.1,No,No,12,Bank Transfer,Fortnightly
578,19,Male,Gloves,Clothing,52,Alabama,M,Black,Fall,3.7,Yes,Yes,41,Venmo,Annually
2044,47,Male,Jewelry,Accessories,33,New York,M,Charcoal,Summer,2.7,No,No,,PayPal,Weekly
630,26,Male,Pants,Footwear,90,Vermont,L,Beige,Spring,4.7,Yes,Yes,11,Debit Card,Annually
3662,63,Female,Coat,Footwear,39,Kansas,S,White,Winter,3.5,No,No,5,Credit Card,Fortnightly
3139,47,Female,Shirt,Clothing,95,Kentucky,L,Gray,Fall,4.6,No,No,40,Cash,Every 3 Months
2316,69,Male,Hoodie,Clothing,79,Vermont,M,Indigo,Winter,3.5,No,No,,Debit Card,Quarterly
2828,20,Female,Shorts,Clothing,96,Wisconsin,M,Magenta,Fall,3.1,No,No,11,Bank Transfer,Bi-Weekly
2354,56,Male,Pants,Accessories,71,Montana,M,White,Fall,,No,No,25,Debit Card,Every 3 Months
2557,24,Male,Blouse,Clothing,88,Montana,XL,Magenta,Fall,,No,No,,Bank Transfer,Quarterly
2899,23,Female,Belt,Footwear,33,New Jersey,XL,Peach,Summer,4.6,No,No,29,Credit Card,Annually
2960,38,Female,T-shirt,Accessories,28,Texas,L,Maroon,Summer,4.7,No,No,9,PayPal,Quarterly
2708,32,Female,Hat,Accessories,88,Nebraska,M,Pink,Fall,4.2,No,No,19,Cash,Weekly
3140,35,Female,Hoodie,Accessories,85,Georgia,M,Olive,Winter,4.4,No,No,4,Venmo,Weekly
2496,40,Male,Blouse,Accessories,37,Nebraska,XL,Orange,Spring,,No,No,34,Credit Card,Every 3 Months
1981,51,Male,Hat,Footwear,94,Iowa,M,Green,Winter,4.4,No,No,,PayPal,Fortnightly
3442,64,Female,Hat,Clothing,96,Tennessee,XL,Charcoal,Fall,4.1,No,No,15,Credit Card,Annually
1720,45,Male,Boots,Clothing,39,Maryland,M,White,Winter,3.2,No,No,8,Venmo,Quarterly
1751,31,Male,Jeans,Accessories,,Missouri,M,White,Fall,3.1,No,No,38,Venmo,Every 3 Months
893,31,Male,Boots,Clothing,,New Mexico,L,Gray,Summer,2.7,Yes,Yes,43,Debit Card,Monthly
3287,45,Female,Sweater,Outerwear,67,Illinois,,Pink,Winter,5,No,No,4,Venmo,Fortnightly
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Yes,46,Cash,Weekly
1166,51,Male,T-shirt,Clothing,64,Wisconsin,M,Silver,Winter,2.9,No,Yes,21,Venmo,Every 3 Months
668,34,Male,Jacket,Accessories,76,Arizona,S,Blue,Winter,2.6,Yes,Yes,32,Bank Transfer,Quarterly
1488,40,Male,Gloves,Clothing,44,Arizona,L,Black,Summer,4.6,No,Yes,26,PayPal,Annually
617,29,Male,Sneakers,Accessories,72,Pennsylvania,L,Teal,Spring,4.6,Yes,Yes,38,Credit Card,Every 3 Months
3745,24,Female,Handbag,Clothing,51,New Jersey,M,Gray,Summer,2.7,No,No,26,Bank Transfer,Fortnightly
390,27,Male,Belt,Footwear,42,Virginia,L,Purple,Spring,4.2,Yes,Yes,28,Bank Transfer,Monthly
2873,63,Female,T-shirt,Accessories,48,Connecticut,L,Olive,Fall,2.6,No,No,5,Cash,Annually
2272,29,Male,Boots,Clothing,,Alaska,M,Green,Summer,3.4,No,No,49,PayPal,Quarterly
1410,34,Male,Socks,Accessories,,Idaho,M,Blue,Spring,4.2,No,Yes,41,Cash,Fortnightly
2134,21,Male,Backpack,Accessories,34,Maine,M,Olive,Summer,3.8,No,No,13,Bank Transfer,Annually
1545,30,Male,Jewelry,Accessories,24,Arkansas,M,Maroon,Spring,3.9,No,Yes,17,Debit Card,Bi-Weekly
1439,58,Male,Jacket,Outerwear,38,Washington,M,Cyan,Spring,2.9,No,Yes,24,Debit Card,Monthly
2577,20,Male,Dress,Clothing,40,New Hampshire,,Silver,Winter,4.2,No,No,19,Debit Card,Quarterly
1549,69,Male,Jacket,Clothing,,Maryland,M,Silver,Summer,,No,Yes,43,Bank Transfer,Weekly
2310,70,Male,Jewelry,Clothing,,Connecticut,S,Gold,Fall,5,No,No,3,Bank Transfer,Quarterly
867,67,Male,Sunglasses,Accessories,,New Mexico,M,Lavender,Summer,2.7,Yes,Yes,11,PayPal,Bi-Weekly
3364,58,Female,Sandals,Clothing,23,California,M,Turquoise,Winter,3,No,No,46,Bank Transfer,Bi-Weekly
881,39,Male,Shoes,Accessories,75,Nevada,L,Red,Spring,3.1,Yes,Yes,25,Debit Card,Monthly
2812,69,Female,Belt,Outerwear,89,Ohio,M,Blue,Fall,3.7,No,No,19,Credit Card,Quarterly
1152,41,Male,Belt,Clothing,86,Ohio,M,Gray,Spring,4.2,No,Yes,24,Credit Card,Weekly
3293,62,Female,Dress,Accessories,23,Missouri,L,Gray,Spring,4.9,No,No,,Bank Transfer,Fortnightly
1209,20,Male,Sweater,Footwear,100,Wisconsin,S,Red,Winter,2.9,No,Yes,8,Debit Card,Annually
2534,66,Male,Blouse,Accessories,46,Pennsylvania,S,Blue,Summer,,No,No,,Cash,Bi-Weekly
